sex,race,region,urban,gifted,ice_cream,earningsat25
female,Not Black/Hispanic,1,1,0,Chocolate,112215
male,Hispanic,1,1,0,Vanilla,30000
female,Hispanic,1,1,0,Vanilla,26000
female,Hispanic,1,1,0,Vanilla,32000
male,Hispanic,1,1,0,Vanilla,25000
female,Hispanic,1,1,0,Vanilla,15000
male,Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,1,Vanilla,35000
male,Not Black/Hispanic,1,1,0,Vanilla,20000
male,Not Black/Hispanic,1,1,1,Vanilla,35000
female,Hispanic,1,1,0,Butter Pecan,8000
male,Hispanic,1,1,0,Vanilla,45000
male,Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Chocolate,0
female,Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Strawberry,0
female,Hispanic,1,1,0,Butter Pecan,0
male,Black,1,1,0,Strawberry,0
male,Black,1,1,0,Chocolate,0
male,Black,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Chocolate,12245
male,Hispanic,1,1,0,Chocolate,0
female,Hispanic,1,1,0,Vanilla,38000
male,Hispanic,1,1,0,Vanilla,0
female,Hispanic,1,1,0,Vanilla,0
male,Black,1,1,0,Vanilla,0
male,Black,1,1,0,Butter Pecan,3000
female,Black,1,1,0,Strawberry,32000
female,Not Black/Hispanic,1,1,0,Butter Pecan,0
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Vanilla,104353
female,Not Black/Hispanic,1,1,0,Butter Pecan,0
female,Not Black/Hispanic,1,1,0,Chocolate,14000
female,Not Black/Hispanic,1,1,0,Strawberry,0
male,Not Black/Hispanic,1,1,0,Chocolate,42500
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Chocolate,15000
female,Not Black/Hispanic,1,1,0,Chocolate,25000
male,Hispanic,1,1,0,None,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Chocolate,65000
male,Not Black/Hispanic,1,1,0,Chocolate,20000
female,Black,1,1,0,Vanilla,3000
male,Hispanic,1,1,0,Strawberry,28000
female,Black,1,1,0,Chocolate,0
male,Black,1,1,0,Chocolate,0
female,Black,1,1,0,Strawberry,20000
female,Black,1,1,0,Strawberry,28000
female,Black,1,1,0,Strawberry,28000
female,Black,1,1,0,Strawberry,14000
